CRC,PC,antenna,channel,eventNum,format,idHex,peakRssi,phase,reads,timestamp,<class 'type'>
94f7,3000,5,912.1,210,epc,1111111111111111111111fa,-45,44.82558822631836,1,2025-05-28T12:43:35.174-0500,CUSTOM
ebf0,3000,5,912.1,211,epc,e2801191a5030069bb92b1f1,-72,170.4910430908203,1,2025-05-28T12:43:35.195-0500,CUSTOM
d8b2,3000,5,919.3,213,epc,111111111111111111111111,-48,-106.43879699707031,1,2025-05-28T12:43:36.448-0500,CUSTOM
94f7,3000,5,919.3,214,epc,1111111111111111111111fa,-45,149.7152557373047,1,2025-05-28T12:43:36.599-0500,CUSTOM
ebf0,3000,5,919.3,215,epc,e2801191a5030069bb92b1f1,-69,-70.49592590332031,1,2025-05-28T12:43:36.630-0500,CUSTOM
d8b2,3000,5,921.55,216,epc,111111111111111111111111,-50,-54.136783599853516,1,2025-05-28T12:43:37.654-0500,CUSTOM
94f7,3000,5,914.8,217,epc,1111111111111111111111fa,-45,88.7557601928711,1,2025-05-28T12:43:37.997-0500,CUSTOM
d8b2,3000,5,918.85,219,epc,111111111111111111111111,-49,-115.2775650024414,1,2025-05-28T12:43:39.099-0500,CUSTOM
9496,3000,6,918.85,220,epc,98003480000000000076a282,-66,46.803184509277344,1,2025-05-28T12:43:39.129-0500,CUSTOM
94f7,3000,5,920.65,223,epc,1111111111111111111111fa,-45,172.99600219726562,1,2025-05-28T13:02:25.569-0500,CUSTOM
d8b2,3000,5,920.65,224,epc,111111111111111111111111,-50,-72.7921371459961,1,2025-05-28T13:02:25.579-0500,CUSTOM
9496,3000,6,920.65,225,epc,98003480000000000076a282,-67,109.70732879638672,1,2025-05-28T13:02:25.691-0500,CUSTOM
d8b2,3000,5,904.0,226,epc,111111111111111111111111,-49,-40.45289611816406,1,2025-05-28T13:02:26.792-0500,CUSTOM
94f7,3000,6,904.0,227,epc,1111111111111111111111fa,-70,-157.3894500732422,1,2025-05-28T13:02:26.923-0500,CUSTOM
d8b2,3000,6,905.8,228,epc,111111111111111111111111,-67,-133.6692352294922,1,2025-05-28T13:02:27.933-0500,CUSTOM
94f7,3000,5,911.65,229,epc,1111111111111111111111fa,-46,41.73284149169922,1,2025-05-28T13:02:28.297-0500,CUSTOM
d8b2,3000,6,907.15,230,epc,111111111111111111111111,-67,-101.98370361328125,1,2025-05-28T13:02:29.074-0500,CUSTOM
9496,3000,6,917.05,231,epc,98003480000000000076a282,-67,-14.601275444030762,1,2025-05-28T13:02:29.226-0500,CUSTOM
d8b2,3000,5,910.3,233,epc,111111111111111111111111,-49,83.2624282836914,1,2025-05-28T13:02:30.337-0500,CUSTOM
d8b2,3000,5,909.4,235,epc,111111111111111111111111,-49,66.41987609863281,1,2025-05-28T13:02:31.589-0500,CUSTOM
d8b2,3000,5,912.55,238,epc,111111111111111111111111,-49,125.08316040039062,1,2025-05-28T13:02:32.873-0500,CUSTOM
94f7,3000,5,924.25,239,epc,1111111111111111111111fa,-44,-137.16848754882812,1,2025-05-28T13:02:33.893-0500,CUSTOM
d8b2,3000,5,924.25,240,epc,111111111111111111111111,-54,0.21973326802253723,1,2025-05-28T13:02:34.196-0500,CUSTOM
94f7,3000,5,919.3,241,epc,1111111111111111111111fa,-45,154.87350463867188,1,2025-05-28T13:02:35.408-0500,CUSTOM
d8b2,3000,5,919.3,242,epc,111111111111111111111111,-49,-103.41746520996094,1,2025-05-28T13:02:35.479-0500,CUSTOM
d8b2,3000,5,921.55,244,epc,111111111111111111111111,-51,-51.6757698059082,1,2025-05-28T13:02:36.711-0500,CUSTOM
94f7,3000,5,921.55,245,epc,1111111111111111111111fa,-45,-174.85275268554688,1,2025-05-28T13:02:36.732-0500,CUSTOM
d8b2,3000,5,903.55,246,epc,111111111111111111111111,-49,-40.101322174072266,1,2025-05-28T13:02:37.974-0500,CUSTOM
94f7,3000,6,903.55,247,epc,1111111111111111111111fa,-70,-160.0262451171875,1,2025-05-28T13:02:38.065-0500,CUSTOM
d8b2,3000,5,904.45,248,epc,111111111111111111111111,-49,-30.21332359313965,1,2025-05-28T13:02:39.216-0500,CUSTOM
94f7,3000,5,926.95,249,epc,1111111111111111111111fa,-44,-92.6505355834961,1,2025-05-28T13:02:39.378-0500,CUSTOM
d8b2,3000,5,917.95,252,epc,111111111111111111111111,-49,-132.43873596191406,1,2025-05-28T13:02:40.499-0500,CUSTOM
94f7,3000,5,908.95,253,epc,1111111111111111111111fa,-47,-1.0821863412857056,1,2025-05-28T13:02:40.783-0500,CUSTOM
